family,n_records,per
Aegithalidae,487,1.74884188602004
Alaudidae,1436,5.15674938054369
Certhiidae,1042,3.74187524688476
Cinclidae,11,0.0395015621072288
Corvidae,1410,5.0633820519266
Fringillidae,7649,27.4679498689266
Laniidae,136,0.488382949689374
Motacillidae,568,2.03971702517327
Muscicapidae,3747,13.4556684741624
Paridae,5542,19.901605199842
Passeridae,204,0.732574424534061
Phylloscopidae,592,2.12590225158904
Sittidae,485,1.74165978381872
Sturnidae,9,0.0323194599059145
Sylviidae,1236,4.43853916041225
Turdidae,3293,11.825331274464
