scientific_name_noAutor,n_records,per
Aegithalos caudatus,487,1.74884188602004
Alauda arvensis,886,3.18167127518225
Anthus Anthus,28,0.100549430818401
Anthus campestris,508,1.82425395913384
Anthus spinoletta,13,0.0466836643085431
Carduelis cannabina,1227,4.40621970050634
Carduelis carduelis,86,0.308830394656516
Carduelis chloris,37,0.132868890724315
Certhia brachydactyla,508,1.82425395913384
Cinclus cinclus,11,0.0395015621072288
Coccothraustes coccothraustes,20,0.0718210220131432
Corvus corax,5,0.0179552555032858
Corvus monedula,5,0.0179552555032858
Cyanistes caeruleus,2822,10.1339462060545
Emberiza cia,3304,11.8648328365713
Emberiza cirlus,103,0.369878263367688
Emberiza hortulana,126,0.452472438682802
Erithacus rubecula,930,3.33967752361116
Fringilla coelebs,2402,8.6257047437785
Fringilla montifringilla,2,0.00718210220131432
Galerida cristata,7,0.0251373577046001
Galerida theklae,195,0.700254964628147
Garrulus glandarius,869,3.12062340647107
Hippolais polyglotta,154,0.553021869501203
Lanius excubitor,99,0.355514058965059
Lanius senator,37,0.132868890724315
Lophophanes cristatus,129,0.463245591984774
Loxia curvirostra,35,0.125686788523001
Lullula arborea,348,1.24968578302869
Luscinia megarhynchos,3,0.0107731533019715
Miliaria calandra,20,0.0718210220131432
Monticola saxatilis,43,0.154415197328258
Motacilla alba,7,0.0251373577046001
Motacilla cinerea,12,0.043092613207886
Muscicapa striata,18,0.0646389198118289
Oenanthe hispanica,77,0.276510934750601
Oenanthe oenanthe,1171,4.20512083886954
Oriolus oriolus,8,0.0287284088052573
Parus major,1765,6.33820519265989
Passer domesticus,6,0.021546306603943
Periparus ater,826,2.96620820914282
Petronia petronia,16,0.0574568176105146
Phoenicurus ochruros,1205,4.32721657629188
Phoenicurus phoenicurus,25,0.0897762775164291
Phylloscopus Phylloscopus,79,0.283693036951916
Phylloscopus bonelli,419,1.50465041117535
Phylloscopus collybita,94,0.337558803461773
Pica pica,409,1.46873990016878
Prunella collaris,146,0.524293460695946
Prunella modularis,36,0.129277839623658
Pyrrhocorax pyrrhocorax,114,0.409379825474917
Regulus ignicapillus,128,0.459654540884117
Saxicola rubetra,23,0.0825941753151147
Saxicola torquata,1228,4.409810751607
Serinus citrinella,4,0.0143642044026286
Serinus serinus,275,0.98753905268072
Sitta europaea,485,1.74165978381872
Spinus spinus,8,0.0287284088052573
Sturnus unicolor,9,0.0323194599059145
Sylvia Sylvia,132,0.474018745286745
Sylvia atricapilla,109,0.391424569971631
Sylvia cantillans,167,0.599705533809746
Sylvia communis,13,0.0466836643085431
Sylvia conspicillata,426,1.52978776887995
Sylvia melanocephala,29,0.104140481919058
Sylvia undata,78,0.280101985851259
Troglodytes troglodytes,534,1.91762128775092
Turdus Turdus,13,0.0466836643085431
Turdus iliacus,48,0.172370452831544
Turdus merula,1145,4.11175351025245
Turdus philomelos,29,0.104140481919058
Turdus pilaris,1,0.00359105110065716
Turdus torquatus,569,2.04330807627393
Turdus viscivorus,512,1.83861816353647
